OBJECTID,ID,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Shape_Length,Shape_Area
1,106915,2.55,0.7,1.89,4.6,12.21,4.51,0.98,1.33,0.19,7.84,2.34,1.6,49907.22421,155669643.2
2,106916,2.55,0.69,1.75,3.88,13.16,5.29,1.22,1.02,0.22,6.87,2.22,1.2,49905.66488,155659915
3,106917,2.67,0.68,1.86,3.52,13.86,6.65,1.62,0.97,0.19,5.73,2.32,1.14,49904.09317,155650110
4,106918,2.79,0.67,1.96,3.64,13.99,6.25,0.88,0.94,0.4,5.64,2.84,1.14,49902.5111,155640240.7
5,107330,1.26,0.42,2.27,3.24,7.92,2.13,0.22,0.44,0.88,8.34,2.53,0.63,49904.58812,155653203.2
6,107331,1.41,0.42,2.05,3,7.9,2.14,0.49,0.39,0.94,9.01,2.41,0.72,49903.15014,155644232.6
7,107332,1.58,0.47,1.55,3.08,7.93,2.65,0.32,0.16,0.67,9.65,2.38,0.67,49901.69986,155635185.5
8,107333,1.61,0.47,1.57,3.46,7.22,3.45,0.58,0.19,0.62,9.16,2.02,0.92,49900.23847,155626069.4
9,107334,1.67,0.49,1.74,4.07,7.5,2.84,0.4,0.14,0.55,7.89,1.85,0.89,49898.76477,155616876.8
10,107335,1.71,0.55,1.8,4.21,8,2.9,0.35,0.47,0.49,6.39,1.92,0.91,49897.27912,155607609.9
11,107336,1.77,0.57,1.89,4.16,8,2.99,0.57,0.68,0.44,6.05,2.05,1.13,49895.78134,155598267.6
12,107337,1.96,0.58,2.02,4.29,8.82,3.5,1.24,0.78,0.46,6.29,2.14,1.5,49894.27219,155588854.7
13,107338,2.28,0.62,1.8,4.34,9.93,3.96,1.68,0.92,0.24,7.27,2.81,1.36,49892.75102,155579367.1
14,107339,2.15,0.61,1.78,4.23,11.15,3.34,1.24,0.63,0.15,9.08,2.87,1.48,49891.2182,155569807.1
15,107340,2.54,0.64,1.92,3.49,12.14,4.68,1.13,0.85,0.21,8.92,2.33,1.31,49889.67299,155560170.2
16,107341,2.64,0.71,1.83,3.7,12.82,6.63,1.3,0.97,0.21,7.51,2.27,1.15,49888.11598,155550460
17,105641,1.76,0.61,2.01,4.24,10.78,4.48,1.55,1.02,0.16,6.92,3.01,1.58,49958.4189,155989181.4
18,106490,2.23,0.65,1.92,5.16,11.89,4.85,1.14,1.36,0.21,7.74,2.62,1.63,49924.79267,155779262.2
19,106491,2.43,0.62,1.8,4.05,12.54,4,1.05,1.22,0.25,7.27,2.38,1.55,49923.2313,155769518
20,106492,2.53,0.67,1.72,3.6,13.45,5.23,1.8,0.98,0.35,6.22,2.2,1.37,49921.65758,155759696.9
21,106493,2.87,0.67,1.87,4.17,13.79,5.53,1.12,0.77,0.64,5.34,2.82,1.11,49920.07154,155749799.3
22,109037,2.24,0.57,1.68,3.17,9.49,3.96,0.64,0.87,0.18,7.31,1.78,1.58,49824.21613,155152234.5
23,109038,2.09,0.63,1.69,2.94,10.37,4.67,1.01,1.38,0.1,8.42,2.06,1.37,49822.70526,155142824.4
24,109039,2.22,0.67,1.69,3.04,9.91,5.61,1.59,0.43,0.11,7.77,2.15,1.16,49821.18256,155133340.8
25,109040,2.39,0.65,1.74,3.65,9.59,5.47,1.1,0.31,0.06,7.21,2.66,0.78,49819.64845,155123786.6
26,109041,2.31,0.6,1.73,3.46,10.41,4.23,1.01,0.37,0.05,7.73,2.6,0.6,49818.10257,155114159.3
27,109042,2.1,0.59,1.8,3.71,11.84,3.75,0.61,0.48,0.04,7.7,2.32,0.78,49816.54426,155104454.9
28,106062,1.69,0.57,2.07,3.96,9.5,2.74,1.38,1.39,0.48,6.99,2.42,1.13,49947.00309,155917901.6
29,106066,2.15,0.57,1.89,4.71,11.16,3.74,1.7,1.11,0.21,6.88,2.62,1.54,49940.81586,155879272.6
30,106067,2.49,0.62,1.77,4.49,12.77,4.27,2.14,1,0.29,5.83,2.47,1.42,49939.23952,155869431.8
31,106481,1.31,0.33,1.54,2.88,7.1,2.21,0.28,0.31,0.54,6.48,3.38,0.46,49938.31693,155863677.8
32,106482,1.29,0.36,1.94,2.91,7.55,2.43,0.21,0.43,0.7,6.61,3.3,0.6,49936.86205,155854595.6
33,106486,1.63,0.54,2,3.68,8.56,2.52,1.12,1.1,0.48,5.48,2.26,1.09,49930.92264,155817521.4
34,106487,1.65,0.58,2.1,4.36,9.57,2.37,1.62,1.37,0.66,5.76,2.3,1.31,49929.4084,155808070
35,106488,1.69,0.6,1.96,4.54,10.4,3.09,1.74,1.12,0.34,7.21,2.62,1.31,49927.88186,155798542.3
36,106489,1.86,0.54,2.05,4.58,10.59,4.44,1.88,0.92,0.18,8.03,2.94,1.3,49926.34356,155788941.4
37,106905,1.26,0.35,1.96,3.1,8.68,2.18,0.16,0.26,0.67,7.99,2.85,0.68,49922.1651,155762869.6
38,106906,1.29,0.34,1.93,2.94,8.02,2.57,0.29,0.19,0.63,8.1,2.82,0.64,49920.72427,155753878.1
39,106907,1.52,0.38,1.8,2.92,7.92,2.59,0.2,0.24,0.74,8.46,2.98,0.68,49919.27223,155744816.8
40,106908,1.62,0.43,1.58,3.18,7.74,2.97,0.52,0.19,0.65,8.22,2.47,0.83,49917.80747,155735676.5
41,106909,1.61,0.51,1.59,3.27,7.62,2.54,0.54,0.29,0.47,7.01,2.2,0.81,49916.33137,155726465.6
42,106910,1.62,0.55,1.73,3.72,7.37,2.76,0.73,0.41,0.49,5.7,2.02,0.93,49914.84327,155717180.2
43,106911,1.69,0.56,1.83,3.81,7.67,2.66,0.56,0.86,0.44,5.16,1.91,1.07,49913.34275,155707817.6
44,106912,1.73,0.58,1.87,4.63,9.14,2.48,1.46,1.18,0.54,5.06,2.21,1.2,49911.83124,155698386.6
45,106913,1.94,0.61,1.97,4.66,9.8,2.75,1.98,1.24,0.38,7.29,2.8,1.47,49910.30712,155688877.3
46,106914,2.24,0.6,1.84,4.69,10.62,3.3,1.92,1.23,0.22,8.05,3.27,1.4,49908.77182,155679298.4
47,107342,2.78,0.62,1.8,3.18,12.66,6.64,1.21,0.9,0.1,6.17,2.73,0.93,49886.5479,155540681
48,107343,2.51,0.68,2.05,3.04,13.16,5.63,0.83,0.95,0.1,5.98,3.14,0.94,49884.96713,155530823.2
49,107344,2.56,0.72,1.97,2.81,12.82,5.15,0.14,0.76,0.06,6.13,3.33,1.04,49883.37462,155520892.6
50,107758,1.63,0.48,1.76,3.97,7.35,3.35,0.6,0.25,0.51,8.22,1.83,0.8,49882.68728,155516612
51,107759,1.65,0.49,1.9,4.39,8.22,2.63,0.26,0.26,0.51,7.14,1.76,0.75,49881.21539,155507433.9
52,107760,1.77,0.58,2,4.54,8,2.22,0.34,0.28,0.5,6.18,1.81,1,49879.73243,155498187
53,107761,2.04,0.62,2.23,4.5,8.27,3.2,0.42,0.34,0.42,6.12,1.86,1.15,49878.23745,155488865.5
54,107762,2.26,0.62,1.87,4.28,8.92,4.65,1.09,0.4,0.45,6.54,2.14,1.44,49876.73103,155479472.9
55,107763,2.12,0.63,1.76,3.81,10.08,4.11,1.94,1.19,0.2,7.04,2.59,1.43,49875.21258,155470005.6
56,107764,2.23,0.66,1.78,3.51,10.85,3.64,1.64,0.98,0.15,8.08,2.71,1.54,49873.68204,155460463.2
