OBJECTID,ID,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Shape_Length,Shape_Area
1,100105,1.16,0.17,1.87,2.06,8.06,2.07,0.07,1.57,0.28,5.35,1.79,1.68,50205.8794,157538364.6
2,100106,1.2,0.2,1.9,2.14,8.61,2.14,0.01,1.57,0.24,4.95,1.76,1.63,50204.39855,157529070.8
3,100107,1.26,0.2,1.88,2.48,8.67,2.06,0,1.65,0.69,5.12,1.74,1.57,50202.90481,157519696.3
4,100108,1.3,0.21,1.75,2.59,8.66,2.46,0.01,1.48,1.46,5.49,1.66,1.5,50201.39953,157510249.8
5,100109,1.33,0.22,1.77,2.69,8.79,2.89,0,2.08,0.8,5.79,1.96,1.6,50199.88207,157500727.1
6,100110,1.5,0.27,1.89,2.33,9.05,4.05,0.01,1.94,0.59,7.13,2.44,1.57,50198.35241,157491128.1
7,100111,1.48,0.29,1.86,2.28,9.18,3.61,0.03,1.82,0.28,7.37,2.33,1.37,50196.80991,157481448.9
8,100112,1.55,0.28,1.82,2.42,8.93,3.34,0.06,2.58,0.11,6.18,2.23,1.47,50195.25593,157471697.9
9,100113,1.51,0.29,1.79,2.33,8.9,3.18,0.28,4,0.15,6.08,2.26,1.46,50193.68969,157461870.3
10,100114,1.46,0.29,1.79,2.46,8.67,4.46,0.36,3.32,0.19,6.11,2.28,1.64,50192.11059,157451962.3
11,100115,1.48,0.2,1.69,2.5,7.58,4.4,0.31,1.71,0.12,6.27,2.32,1.74,50190.52024,157441984.1
12,100116,1.36,0.21,1.61,2.45,7.25,3.74,0.34,1.12,0.26,5.77,2.42,1.68,50188.91674,157431923.6
13,106915,2.55,0.7,1.89,4.6,12.21,4.51,0.98,1.33,0.19,7.84,2.34,1.6,49907.22421,155669643.2
14,103075,1.08,0.23,2.34,2.51,7.36,3.89,0.24,1.12,0.6,6.59,2.6,1.07,50088.3095,156801388.9
15,103076,1.14,0.22,2.21,2.08,7.75,1.99,0.24,0.88,0.57,6.19,2.64,1.22,50086.90668,156792605.5
16,103077,1.19,0.23,2.25,1.79,7.33,2.18,0.24,1.23,0.55,5.6,2.48,1.2,50085.49239,156783750.4
17,103078,1.16,0.23,2.36,2.27,7.43,2.53,0.24,1.48,0.68,5.54,2.8,1.24,50084.06521,156774814.9
18,103079,1.13,0.22,2.17,2.29,7.38,3.9,0.21,1.16,0.85,7.4,2.2,1.24,50082.62643,156765807
19,105641,1.76,0.61,2.01,4.24,10.78,4.48,1.55,1.02,0.16,6.92,3.01,1.58,49958.4189,155989181.4
20,100525,1.16,0.16,2.24,2.5,8.3,2.32,0.23,1.7,1.01,5.27,1.76,1.99,50195.21759,157471462.8
21,100526,1,0.15,2.19,2.59,8.1,2.65,0.07,1.35,1.31,5.11,1.57,1.42,50193.80023,157462569.4
22,100527,1.09,0.19,2.03,2.44,8.58,2.8,0.01,1.29,1.09,5.06,1.58,1.76,50192.371,157453601.7
23,100528,1.09,0.17,1.77,2.11,7.98,1.98,0,1.13,0.66,5.79,1.37,1.79,50190.92929,157444555.9
24,100529,1.07,0.16,1.8,2.31,7.95,1.77,0,1.58,0.42,5.73,1.48,1.57,50189.47539,157435434
25,100530,1.2,0.17,2.01,2.69,8.68,2.08,0.06,2.04,0.36,5.67,1.9,1.58,50188.00907,157426234.4
26,100531,1.27,0.19,1.89,2.37,9.07,2.2,0.08,1.51,0.3,5.36,1.81,1.21,50186.5305,157416958.3
27,100532,1.25,0.22,1.79,2.47,8.83,2.41,0.08,1.1,0.54,5.61,1.67,1.46,50185.04004,157407607.7
28,100533,1.3,0.23,1.72,2.64,8.97,2.16,0.07,1.34,1.18,5.73,1.66,1.61,50183.53714,157398179.5
29,100534,1.34,0.28,1.78,2.65,8.74,2.34,0.04,2.07,0.68,5.68,1.88,1.43,50182.02169,157388672.8
30,100535,1.42,0.33,1.78,2.37,8.61,3.33,0.03,2.49,0.55,6.09,2.06,1.56,50180.49511,157379096.6
31,100536,1.44,0.34,1.86,2.38,8.7,3.61,0.04,2.39,0.4,6.74,2.13,1.35,50178.95496,157369435.5
32,100537,1.62,0.3,1.78,2.34,8.73,3.2,0.1,3.07,0.15,6.66,2.18,1.36,50177.40362,157359704.5
33,100538,1.58,0.31,1.8,2.19,8.77,3.74,0.37,4.09,0.12,6.49,2.26,1.73,50175.84,157349896.8
34,100539,1.53,0.24,1.84,2.37,8.74,4.14,0.4,3.59,0.15,6.37,2.34,1.63,50174.26352,157340008.8
35,100540,1.48,0.24,1.84,2.58,7.82,4.35,0.4,2.08,0.32,6.59,2.41,1.78,50172.67613,157330052.7
36,100541,1.39,0.23,1.61,2.53,7.08,3.86,0.26,1.91,0.56,6.35,2.39,1.95,50171.07616,157320018
37,99683,1.21,0.17,1.64,2.41,7.82,2.81,0,1.19,0.75,5.13,1.68,1.8,50219.28128,157622481.5
38,99684,1.36,0.17,1.71,2.36,8.49,2.88,0.04,1.37,0.52,5.38,1.96,1.77,50217.76049,157612934.6
39,99685,1.42,0.22,1.78,2.72,9.03,3.38,0.03,1.63,0.5,6.52,2.3,1.7,50216.22759,157603311.8
40,99686,1.47,0.27,1.77,2.58,8.89,3.53,0.05,1.6,0.31,7.18,2.26,1.5,50214.6831,157593616.7
41,99687,1.47,0.26,1.79,2.48,8.73,3.16,0.02,1.78,0.14,6.14,2,1.42,50213.12643,157583845.3
42,99688,1.48,0.27,1.74,2.62,8.53,3.1,0.21,3.2,0.48,5.27,2.07,1.62,50211.55756,157573997.7
43,99689,1.42,0.3,1.72,2.68,8.3,4.21,0.32,3.05,0.32,6.14,2.22,1.52,50209.9752,157564065.7
44,99690,1.46,0.26,1.7,2.66,7.74,4.74,0.27,1.2,0.26,6.3,2.22,1.56,50208.38196,157554065.7
45,99691,1.45,0.23,1.71,2.49,7.39,3.77,0.44,1.18,0.8,5.72,2.24,1.57,50206.77615,157543987.2
46,99692,1.39,0.2,1.7,2.66,7.72,3.88,0.64,1.11,0.69,5.3,2.22,1.61,50205.15881,157533836.6
47,103512,1.67,0.28,2.16,4.36,9.49,4.22,0.9,2.32,0.43,7.46,3.37,1.61,50052.95787,156580122.4
48,103513,1.65,0.31,2.2,4.37,10.1,5.69,0.87,2.29,0.38,7.09,3.59,1.53,50051.4125,156570453.3
49,103514,1.55,0.38,2.19,3.95,10.94,6.73,0.91,1.83,0.5,7.1,3.66,1.68,50049.85551,156560711.7
50,103515,1.58,0.43,1.93,3.59,11.49,7.19,1.14,1.55,0.59,6.87,3.57,1.86,50048.28623,156550893.5
51,102662,1.67,0.27,1.84,3.88,9.42,5.15,0.53,2.61,0.45,7.86,3.57,1.65,50088.42138,156802084
52,102663,1.54,0.26,1.83,3.99,9.96,5.49,0.63,2.56,0.47,6.88,3.56,1.67,50086.87097,156792376.4
53,102664,1.5,0.31,1.8,4.02,10.15,4.71,0.67,2.16,0.39,6.43,3.51,1.72,50085.30866,156782594.7
54,102665,1.61,0.34,1.78,4.04,12.28,5.29,0.85,2.63,0.34,6.46,3.27,1.94,50083.73415,156772736.8
55,102666,1.53,0.4,1.72,4,11.8,5.12,1.39,2.34,0.21,6.47,3.02,1.88,50082.14766,156762804.2
56,106490,2.23,0.65,1.92,5.16,11.89,4.85,1.14,1.36,0.21,7.74,2.62,1.63,49924.79267,155779262.2
57,106491,2.43,0.62,1.8,4.05,12.54,4,1.05,1.22,0.25,7.27,2.38,1.55,49923.2313,155769518
58,105636,1.64,0.49,2.36,3.37,9.23,3.52,0.95,0.6,0.61,6.16,2.82,1.11,49966.13677,156037384.3
59,105637,1.72,0.49,2.35,3.65,9.04,3.17,1.39,0.69,0.37,6.18,2.83,1.19,49964.61714,156027892.7
60,105638,1.76,0.56,2.43,4.26,10.29,4.03,1.74,0.86,0.28,6.78,2.77,1.46,49963.0862,156018330.7
61,105639,1.72,0.56,2.14,4.46,10.49,4.88,1.71,0.96,0.25,6.33,3.3,1.39,49961.5419,156008685.6
62,105640,1.73,0.57,1.96,4.14,10.49,5.22,1.91,1.04,0.27,6,2.96,1.41,49959.98592,155998967.8
63,98402,1.07,0.23,2.03,2.23,7.18,2.87,0.03,1.2,0.55,5.44,1.51,1.99,50281.9472,158016111.6
64,98826,1.04,0.23,2.16,2.54,7.69,3.31,0.05,1.39,0.49,5.28,1.54,1.88,50265.43404,157912339.3
65,98827,0.97,0.18,2.08,2.05,7.01,3.54,0.01,1.2,0.42,5.67,1.48,1.67,50263.99456,157903294.4
66,98833,1.27,0.22,1.58,2.48,7.22,3.26,0.02,2.03,0.94,4.68,1.63,1.63,50255.09895,157847405.2
67,98834,1.36,0.25,1.72,2.9,8.05,3.31,0.05,1.99,0.34,4.9,1.87,1.81,50253.57343,157837821.7
68,98835,1.46,0.22,1.71,3.09,8.55,2.97,0.02,1.61,0.32,5.43,2.4,1.81,50252.03594,157828163.3
69,98836,1.46,0.23,1.76,3.17,8.77,3.97,0.05,1.66,0.66,6.04,2.75,1.76,50250.4861,157818427.6
70,98837,1.38,0.21,1.66,2.9,8.47,4.91,0.12,1.98,0.29,5.96,2.11,1.63,50248.92358,157808612.5
71,98838,1.38,0.22,1.66,2.81,8.86,4.15,0.38,2.24,0.22,5.11,1.87,1.49,50247.34882,157798720.9
72,98839,1.44,0.2,1.58,3,8.59,4.03,0.84,1.61,0.44,5.95,1.99,1.64,50245.76154,157788750.9
73,99250,1.1,0.23,2.23,2.05,7.71,2.86,0.07,1.41,0.69,5.16,1.41,1.76,50248.92244,157808610.8
74,99251,1.09,0.19,2.29,2.13,7.92,2.66,0.02,1.36,0.67,5.47,1.43,1.92,50247.49784,157799662.4
75,99252,1.14,0.2,2.21,2,7.32,3.62,0.02,0.99,0.47,5.25,1.43,1.53,50246.06074,157790635.7
76,99253,1.12,0.16,1.9,2.08,6.69,2.93,0,1.09,0.45,5.14,1.74,1.62,50244.61179,157781534.8
77,99254,1.07,0.19,1.86,1.98,6.36,2.66,0,1.36,0.3,4.9,1.74,1.56,50243.14974,157772351.9
78,99255,1.13,0.18,1.82,1.97,6.99,3.17,0,0.91,0.27,4.95,1.75,1.63,50241.67588,157763095.2
79,99257,1.24,0.19,1.52,2.14,6.97,2.26,0.01,1.14,0.65,4.47,1.62,1.97,50238.69147,157744352
80,99258,1.23,0.2,1.58,2.57,7.66,2.77,0,1.61,0.74,5.04,1.68,1.75,50237.18156,157734869.6
81,99259,1.38,0.2,1.62,2.68,8.67,2.78,0.04,1.31,0.65,5.01,1.9,1.71,50235.65805,157725302.1
82,99260,1.51,0.22,1.75,2.64,9.29,2.71,0.03,1.34,0.32,5.75,2.32,1.75,50234.1225,157715659.3
83,99261,1.44,0.22,1.74,2.73,8.75,2.88,0.05,1.63,0.24,6.52,2.19,1.58,50232.57536,157705944.1
84,99262,1.43,0.23,1.73,2.72,8.28,3.67,0.05,2.04,0.4,6,1.92,1.5,50231.01547,157696149
85,99263,1.51,0.25,1.7,2.87,8.83,3.15,0.29,2.61,0.2,5.06,1.88,1.54,50229.44398,157686281.5
86,99264,1.4,0.24,1.65,2.86,8.31,3.47,0.48,2.09,0.13,6.26,2.06,1.53,50227.85895,157676329.2
87,99265,1.38,0.23,1.63,2.84,8.05,4,0.45,0.83,0.26,6.64,2.06,1.65,50226.2634,157666311.1
88,99266,1.43,0.2,1.62,2.49,7.65,3.68,0.4,0.85,0.5,5.99,2.08,1.45,50224.65435,157656208.7
89,99675,1.07,0.25,2.22,1.93,7.72,2.86,0.08,1.46,0.69,5.02,1.57,2,50231.00183,157696068.8
90,99676,1.04,0.22,2.27,2.11,7.78,2.92,0.04,1.14,0.62,5.32,1.53,1.92,50229.57998,157687140.9
91,99677,1.08,0.2,2.1,2.09,7.13,3.38,0.05,1.27,0.44,5,1.68,1.5,50228.14556,157678134.2
92,99678,1.08,0.16,1.95,2.09,6.74,2.86,0.01,1.34,0.49,5.37,1.7,1.58,50226.69874,157669050
93,99679,1.03,0.16,1.77,1.68,6.35,2.04,0.03,1.16,0.29,4.69,1.54,1.49,50225.23947,157659887.8
94,99680,1.09,0.17,1.77,1.65,7.24,2.53,0.06,0.9,0.24,4.74,1.74,1.77,50223.76826,157650651
95,99681,1.2,0.18,1.63,1.66,7.55,2.49,0.02,0.8,0.26,4.54,1.62,1.78,50222.28501,157641338.8
96,99682,1.16,0.16,1.62,2.09,7.38,2.23,0,1.09,0.53,4.65,1.68,1.74,50220.78858,157631944.1
97,100100,1.07,0.21,2.28,1.88,8.18,3.29,0.05,2.16,0.83,5.34,1.63,1.98,50213.10039,157583687.3
98,100101,1.03,0.19,2.3,2.2,8.13,3.14,0.03,1.29,0.86,5.38,1.61,1.63,50211.68088,157574777.2
99,100102,1.01,0.15,2.14,2.41,8.02,2.96,0.03,1.22,0.67,4.91,1.53,1.71,50210.2489,157565789.1
100,100103,1.16,0.16,1.81,1.85,7.65,2.55,0,1.28,0.74,5.75,1.52,1.54,50208.80446,157556723
101,100104,1.12,0.16,1.73,1.64,7.03,1.75,0.03,1.23,0.38,5.17,1.51,1.46,50207.3482,157547583
102,100949,1.11,0.23,1.92,2.63,7.16,1.79,0.09,1.39,0.65,5.24,1.67,2.07,50178.75613,157368193.7
103,100950,1.11,0.19,2.02,2.63,7.71,1.55,0.28,1.35,0.88,5.27,1.63,1.89,50177.35366,157359396.6
104,100951,1.08,0.17,1.95,2.61,7.73,1.51,0.16,1.51,1.24,5.2,1.55,1.54,50175.93835,157350519.2
105,100952,1.09,0.22,1.92,2.83,8.97,1.58,0.02,1.46,1.14,5.53,1.6,1.72,50174.51085,157341565.5
106,100953,1.07,0.25,1.68,2.46,9.08,1.51,0.03,1.11,0.95,5.8,1.47,1.73,50173.07157,157332538.3
107,100954,1.16,0.26,1.7,2.44,7.9,2.07,0.01,1.48,0.42,6.18,1.48,1.51,50171.62075,157323438.9
108,100955,1.28,0.25,1.76,2.61,9,2.14,0.06,1.68,0.33,6.39,1.86,1.41,50170.15744,157314261.5
109,100956,1.29,0.23,1.7,2.25,9.12,2.09,0.11,1.25,0.26,5.78,1.9,1.29,50168.68092,157305001.5
110,100957,1.35,0.21,1.66,2.62,8.9,2.62,0.17,1.2,0.27,5.88,1.71,1.47,50167.19356,157295673.7
111,100958,1.38,0.25,1.71,2.89,9.22,2.98,0.27,1.44,0.64,6,1.66,1.53,50165.6927,157286261.6
112,100959,1.48,0.29,1.66,2.91,8.72,3.19,0.17,2.02,0.75,6.18,2.07,1.48,50164.18057,157276779.1
113,100960,1.43,0.34,1.76,2.45,8.21,3.44,0.14,2.24,0.64,6.79,2.3,1.44,50162.65593,157267218.5
114,100961,1.51,0.32,1.79,2.33,8.54,4.21,0.15,2.88,0.62,7.55,2.23,1.46,50161.11908,157257581.5
115,100962,1.59,0.28,1.79,2.36,8.49,3.67,0.15,2.69,0.18,7.08,2.32,1.39,50159.57067,157247872.4
116,100963,1.51,0.29,1.83,2.28,8.75,4.07,0.38,2.92,0.28,6,2.34,1.67,50158.00968,157238084.7
117,100964,1.38,0.33,1.75,2.5,8.35,4,0.47,3.25,0.2,5.15,2.18,1.69,50156.43588,157228216.9
118,100965,1.33,0.29,1.68,2.76,7.69,4.45,0.53,2.71,0.19,5.56,2.1,1.82,50154.8508,157218278.8
