datetime,dishcarge
1/1/2015,131
1/2/2015,131
1/3/2015,136
1/4/2015,133
1/5/2015,131
1/6/2015,131
1/7/2015,133
1/8/2015,133
1/9/2015,133
1/10/2015,135
1/11/2015,141
1/12/2015,139
1/13/2015,139
1/14/2015,140
1/15/2015,140
1/16/2015,140
1/17/2015,141
1/18/2015,141
1/19/2015,141
1/20/2015,142
1/21/2015,143
1/22/2015,308
1/23/2015,201
1/24/2015,177
1/25/2015,172
1/26/2015,171
1/27/2015,170
1/28/2015,172
1/29/2015,172
1/30/2015,172
1/31/2015,174
2/1/2015,177
2/2/2015,177
2/3/2015,186
2/4/2015,189
2/5/2015,189
2/6/2015,191
2/7/2015,191
2/8/2015,193
2/9/2015,193
2/10/2015,193
2/11/2015,189
2/12/2015,188
2/13/2015,187
2/14/2015,189
2/15/2015,190
2/16/2015,189
2/17/2015,186
2/18/2015,187
2/19/2015,187
2/20/2015,188
2/21/2015,188
2/22/2015,187
2/23/2015,184
2/24/2015,184
2/25/2015,185
2/26/2015,184
2/27/2015,183
2/28/2015,184
3/1/2015,186
3/2/2015,184
3/3/2015,186
3/4/2015,187
3/5/2015,183
3/6/2015,183
3/7/2015,184
3/8/2015,195
3/9/2015,277
3/10/2015,237
3/11/2015,205
3/12/2015,198
3/13/2015,196
3/14/2015,198
3/15/2015,200
3/16/2015,194
3/17/2015,194
3/18/2015,195
3/19/2015,195
3/20/2015,204
3/21/2015,306
3/22/2015,234
3/23/2015,212
3/24/2015,205
3/25/2015,203
3/26/2015,201
3/27/2015,201
3/28/2015,200
3/29/2015,201
3/30/2015,197
3/31/2015,195
4/1/2015,195
4/2/2015,194
4/3/2015,194
4/4/2015,192
4/5/2015,194
4/6/2015,192
4/7/2015,190
4/8/2015,187
4/9/2015,187
4/10/2015,191
4/11/2015,191
4/12/2015,193
4/13/2015,235
4/14/2015,204
4/15/2015,196
4/16/2015,205
4/17/2015,233
4/18/2015,222
4/19/2015,206
4/20/2015,199
4/21/2015,196
4/22/2015,199
4/23/2015,206
4/24/2015,256
4/25/2015,563
4/26/2015,254
4/27/2015,249
4/28/2015,237
4/29/2015,227
4/30/2015,224
5/1/2015,222
5/2/2015,222
5/3/2015,222
5/4/2015,224
5/5/2015,221
5/6/2015,221
5/7/2015,221
5/8/2015,221
5/9/2015,222
5/10/2015,226
5/11/2015,223
5/12/2015,221
5/13/2015,251
5/14/2015,253
5/15/2015,290
5/16/2015,276
5/17/2015,598
5/18/2015,307
5/19/2015,259
5/20/2015,254
5/21/2015,253
5/22/2015,253
5/23/2015,294
5/24/2015,987
5/25/2015,359
5/26/2015,347
5/27/2015,298
5/28/2015,291
5/29/2015,396
5/30/2015,330
5/31/2015,393
6/1/2015,311
6/2/2015,316
6/3/2015,318
6/4/2015,326
6/5/2015,336
6/6/2015,328
6/7/2015,323
6/8/2015,310
6/9/2015,304
6/10/2015,302
6/11/2015,294
6/12/2015,289
6/13/2015,286
6/14/2015,544
6/15/2015,383
6/16/2015,324
6/17/2015,706
6/18/2015,934
6/19/2015,493
6/20/2015,414
6/21/2015,423
6/22/2015,416
6/23/2015,378
6/24/2015,363
6/25/2015,355
6/26/2015,352
6/27/2015,356
6/28/2015,354
6/29/2015,351
6/30/2015,375
7/1/2015,344
7/2/2015,341
7/3/2015,342
7/4/2015,348
7/5/2015,345
7/6/2015,343
7/7/2015,341
7/8/2015,340
7/9/2015,336
7/10/2015,336
7/11/2015,338
7/12/2015,340
7/13/2015,338
7/14/2015,336
7/15/2015,332
7/16/2015,333
7/17/2015,334
7/18/2015,334
7/19/2015,338
7/20/2015,332
7/21/2015,333
7/22/2015,330
7/23/2015,332
7/24/2015,330
7/25/2015,332
7/26/2015,335
7/27/2015,329
7/28/2015,329
7/29/2015,326
7/30/2015,323
7/31/2015,321
8/1/2015,319
8/2/2015,318
8/3/2015,314
8/4/2015,311
8/5/2015,303
8/6/2015,301
8/7/2015,296
8/8/2015,299
8/9/2015,292
8/10/2015,288
8/11/2015,286
8/12/2015,274
8/13/2015,274
8/14/2015,270
8/15/2015,270
8/16/2015,268
8/17/2015,264
8/18/2015,257
8/19/2015,255
8/20/2015,253
8/21/2015,252
8/22/2015,255
8/23/2015,252
8/24/2015,246
8/25/2015,243
8/26/2015,235
8/27/2015,230
8/28/2015,228
8/29/2015,227
8/30/2015,228
8/31/2015,227
9/1/2015,223
9/2/2015,224
9/3/2015,221
9/4/2015,220
9/5/2015,220
9/6/2015,225
9/7/2015,225
9/8/2015,221
9/9/2015,220
9/10/2015,215
9/11/2015,221
9/12/2015,226
9/13/2015,227
9/14/2015,226
9/15/2015,225
9/16/2015,223
9/17/2015,220
9/18/2015,217
9/19/2015,217
9/20/2015,218
9/21/2015,214
9/22/2015,208
9/23/2015,205
9/24/2015,204
9/25/2015,203
9/26/2015,206
9/27/2015,209
9/28/2015,206
9/29/2015,199
9/30/2015,198
10/1/2015,197
10/2/2015,196
10/3/2015,198
10/4/2015,201
10/5/2015,197
10/6/2015,195
10/7/2015,196
10/8/2015,200
10/9/2015,201
10/10/2015,205
10/11/2015,209
10/12/2015,207
10/13/2015,211
10/14/2015,202
10/15/2015,208
10/16/2015,205
10/17/2015,205
10/18/2015,208
10/19/2015,203
10/20/2015,201
10/21/2015,199
10/22/2015,202
10/23/2015,224
10/24/2015,371
10/25/2015,284
10/26/2015,234
10/27/2015,235
10/28/2015,237
10/29/2015,238
10/30/2015,4070
10/31/2015,1040
11/1/2015,453
11/2/2015,392
11/3/2015,380
11/4/2015,358
11/5/2015,329
11/6/2015,299
11/7/2015,299
11/8/2015,298
11/9/2015,296
11/10/2015,300
11/11/2015,299
11/12/2015,299
11/13/2015,296
11/14/2015,296
11/15/2015,296
11/16/2015,297
11/17/2015,311
11/18/2015,301
11/19/2015,303
11/20/2015,302
11/21/2015,304
11/22/2015,302
11/23/2015,301
11/24/2015,301
11/25/2015,303
11/26/2015,307
11/27/2015,310
11/28/2015,362
11/29/2015,325
11/30/2015,317
12/1/2015,317
12/2/2015,317
12/3/2015,311
12/4/2015,312
12/5/2015,312
12/6/2015,309
12/7/2015,308
12/8/2015,307
12/9/2015,306
12/10/2015,307
12/11/2015,308
12/12/2015,308
12/13/2015,368
12/14/2015,321
12/15/2015,309
12/16/2015,302
12/17/2015,302
12/18/2015,301
12/19/2015,302
12/20/2015,305
12/21/2015,308
12/22/2015,310
12/23/2015,305
12/24/2015,305
12/25/2015,310
12/26/2015,312
12/27/2015,325
12/28/2015,346
12/29/2015,316
12/30/2015,314
12/31/2015,313
