datetime,15_00060_00003
1/1/2015,117
1/2/2015,117
1/3/2015,116
1/4/2015,116
1/5/2015,116
1/6/2015,116
1/7/2015,116
1/8/2015,116
1/9/2015,118
1/10/2015,118
1/11/2015,118
1/12/2015,118
1/13/2015,119
1/14/2015,119
1/15/2015,119
1/16/2015,118
1/17/2015,118
1/18/2015,118
1/19/2015,118
1/20/2015,119
1/21/2015,119
1/22/2015,127
1/23/2015,131
1/24/2015,136
1/25/2015,140
1/26/2015,145
1/27/2015,145
1/28/2015,145
1/29/2015,146
1/30/2015,147
1/31/2015,149
2/1/2015,150
2/2/2015,150
2/3/2015,152
2/4/2015,152
2/5/2015,152
2/6/2015,154
2/7/2015,154
2/8/2015,155
2/9/2015,155
2/10/2015,155
2/11/2015,155
2/12/2015,155
2/13/2015,156
2/14/2015,157
2/15/2015,157
2/16/2015,159
2/17/2015,159
2/18/2015,160
2/19/2015,160
2/20/2015,160
2/21/2015,159
2/22/2015,158
2/23/2015,158
2/24/2015,158
2/25/2015,159
2/26/2015,157
2/27/2015,156
2/28/2015,156
3/1/2015,156
3/2/2015,157
3/3/2015,157
3/4/2015,156
3/5/2015,156
3/6/2015,156
3/7/2015,157
3/8/2015,160
3/9/2015,161
3/10/2015,161
3/11/2015,162
3/12/2015,162
3/13/2015,162
3/14/2015,161
3/15/2015,161
3/16/2015,161
3/17/2015,162
3/18/2015,165
3/19/2015,165
3/20/2015,169
3/21/2015,170
3/22/2015,171
3/23/2015,172
3/24/2015,172
3/25/2015,173
3/26/2015,174
3/27/2015,174
3/28/2015,175
3/29/2015,173
3/30/2015,173
3/31/2015,176
4/1/2015,178
4/2/2015,175
4/3/2015,179
4/4/2015,176
4/5/2015,177
4/6/2015,177
4/7/2015,176
4/8/2015,176
4/9/2015,175
4/10/2015,174
4/11/2015,174
4/12/2015,174
4/13/2015,173
4/14/2015,173
4/15/2015,171
4/16/2015,172
4/17/2015,174
4/18/2015,173
4/19/2015,173
4/20/2015,172
4/21/2015,172
4/22/2015,172
4/23/2015,172
4/24/2015,174
4/25/2015,176
4/26/2015,179
4/27/2015,181
4/28/2015,183
4/29/2015,182
4/30/2015,182
5/1/2015,183
5/2/2015,182
5/3/2015,181
5/4/2015,180
5/5/2015,180
5/6/2015,180
5/7/2015,181
5/8/2015,180
5/9/2015,180
5/10/2015,180
5/11/2015,180
5/12/2015,180
5/13/2015,183
5/14/2015,186
5/15/2015,190
5/16/2015,192
5/17/2015,197
5/18/2015,197
5/19/2015,201
5/20/2015,204
5/21/2015,207
5/22/2015,210
5/23/2015,219
5/24/2015,230
5/25/2015,240
5/26/2015,252
5/27/2015,257
5/28/2015,266
5/29/2015,275
5/30/2015,284
5/31/2015,293
6/1/2015,303
6/2/2015,313
6/3/2015,324
6/4/2015,335
6/5/2015,346
6/6/2015,347
6/7/2015,347
6/8/2015,347
6/9/2015,347
6/10/2015,347
6/11/2015,346
6/12/2015,346
6/13/2015,346
6/14/2015,346
6/15/2015,345
6/16/2015,346
6/17/2015,346
6/18/2015,345
6/19/2015,344
6/20/2015,343
6/21/2015,343
6/22/2015,343
6/23/2015,343
6/24/2015,341
6/25/2015,341
6/26/2015,340
6/27/2015,340
6/28/2015,340
6/29/2015,339
6/30/2015,330
7/1/2015,328
7/2/2015,327
7/3/2015,325
7/4/2015,324
7/5/2015,322
7/6/2015,322
7/7/2015,322
7/8/2015,323
7/9/2015,323
7/10/2015,323
7/11/2015,322
7/12/2015,322
7/13/2015,322
7/14/2015,321
7/15/2015,320
7/16/2015,320
7/17/2015,319
7/18/2015,318
7/19/2015,317
7/20/2015,316
7/21/2015,316
7/22/2015,315
7/23/2015,315
7/24/2015,315
7/25/2015,315
7/26/2015,311
7/27/2015,311
7/28/2015,308
7/29/2015,307
7/30/2015,305
7/31/2015,305
8/1/2015,304
8/2/2015,304
8/3/2015,301
8/4/2015,299
8/5/2015,298
8/6/2015,297
8/7/2015,295
8/8/2015,293
8/9/2015,288
8/10/2015,286
8/11/2015,282
8/12/2015,282
8/13/2015,281
8/14/2015,281
8/15/2015,280
8/16/2015,281
8/17/2015,280
8/18/2015,279
8/19/2015,278
8/20/2015,276
8/21/2015,275
8/22/2015,273
8/23/2015,270
8/24/2015,269
8/25/2015,270
8/26/2015,270
8/27/2015,272
8/28/2015,270
8/29/2015,269
8/30/2015,267
8/31/2015,266
9/1/2015,265
9/2/2015,264
9/3/2015,262
9/4/2015,261
9/5/2015,260
9/6/2015,255
9/7/2015,250
9/8/2015,249
9/9/2015,248
9/10/2015,247
9/11/2015,246
9/12/2015,244
9/13/2015,242
9/14/2015,241
9/15/2015,240
9/16/2015,239
9/17/2015,238
9/18/2015,236
9/19/2015,235
9/20/2015,234
9/21/2015,233
9/22/2015,232
9/23/2015,229
9/24/2015,227
9/25/2015,228
9/26/2015,226
9/27/2015,224
9/28/2015,223
9/29/2015,219
9/30/2015,220
10/1/2015,218
10/2/2015,218
10/3/2015,216
10/4/2015,215
10/5/2015,214
10/6/2015,213
10/7/2015,212
10/8/2015,211
10/9/2015,209
10/10/2015,208
10/11/2015,208
10/12/2015,207
10/13/2015,206
10/14/2015,205
10/15/2015,204
10/16/2015,203
10/17/2015,202
10/18/2015,201
10/19/2015,201
10/20/2015,201
10/21/2015,200
10/22/2015,199
10/23/2015,201
10/24/2015,199
10/25/2015,197
10/26/2015,199
10/27/2015,197
10/28/2015,198
10/29/2015,197
10/30/2015,204
10/31/2015,221
11/1/2015,235
11/2/2015,250
11/3/2015,266
11/4/2015,280
11/5/2015,294
11/6/2015,312
11/7/2015,338
11/8/2015,337
11/9/2015,338
11/10/2015,339
11/11/2015,340
11/12/2015,341
11/13/2015,340
11/14/2015,340
11/15/2015,340
11/16/2015,342
11/17/2015,341
11/18/2015,339
11/19/2015,338
11/20/2015,338
11/21/2015,338
11/22/2015,337
11/23/2015,337
11/24/2015,337
11/25/2015,337
11/26/2015,337
11/27/2015,337
11/28/2015,337
11/29/2015,337
11/30/2015,335
12/1/2015,333
12/2/2015,331
12/3/2015,330
12/4/2015,330
12/5/2015,329
12/6/2015,328
12/7/2015,327
12/8/2015,328
12/9/2015,328
12/10/2015,328
12/11/2015,328
12/12/2015,329
12/13/2015,330
12/14/2015,330
12/15/2015,329
12/16/2015,328
12/17/2015,326
12/18/2015,326
12/19/2015,325
12/20/2015,324
12/21/2015,323
12/22/2015,324
12/23/2015,324
12/24/2015,324
12/25/2015,323
12/26/2015,323
12/27/2015,322
12/28/2015,320
12/29/2015,317
12/30/2015,314
12/31/2015,311
