,Date,Discharge,baseflow
2015-01-01,1/1/2015,131,131.0
2015-01-02,1/2/2015,131,131.0
2015-01-03,1/3/2015,136,132.0
2015-01-04,1/4/2015,133,133.0
2015-01-05,1/5/2015,131,131.0
2015-01-06,1/6/2015,131,131.0
2015-01-07,1/7/2015,133,133.0
2015-01-08,1/8/2015,133,133.0
2015-01-09,1/9/2015,133,133.0
2015-01-10,1/10/2015,135,135.0
2015-01-11,1/11/2015,141,137.0
2015-01-12,1/12/2015,139,139.0
2015-01-13,1/13/2015,139,139.0
2015-01-14,1/14/2015,140,140.0
2015-01-15,1/15/2015,140,140.0
2015-01-16,1/16/2015,140,140.0
2015-01-17,1/17/2015,141,141.0
2015-01-18,1/18/2015,141,141.0
2015-01-19,1/19/2015,141,141.0
2015-01-20,1/20/2015,142,142.0
2015-01-21,1/21/2015,143,143.0
2015-01-22,1/22/2015,308,150.25
2015-01-23,1/23/2015,201,157.5
2015-01-24,1/24/2015,177,164.75
2015-01-25,1/25/2015,172,172.0
2015-01-26,1/26/2015,171,171.0
2015-01-27,1/27/2015,170,170.0
2015-01-28,1/28/2015,172,172.0
2015-01-29,1/29/2015,172,172.0
2015-01-30,1/30/2015,172,172.0
2015-01-31,1/31/2015,174,174.0
2015-02-01,2/1/2015,177,177.0
2015-02-02,2/2/2015,177,177.0
2015-02-03,2/3/2015,186,183.0
2015-02-04,2/4/2015,189,189.0
2015-02-05,2/5/2015,189,189.0
2015-02-06,2/6/2015,191,191.0
2015-02-07,2/7/2015,191,191.0
2015-02-08,2/8/2015,193,193.0
2015-02-09,2/9/2015,193,193.0
2015-02-10,2/10/2015,193,193.0
2015-02-11,2/11/2015,189,189.0
2015-02-12,2/12/2015,188,188.0
2015-02-13,2/13/2015,187,187.0
2015-02-14,2/14/2015,189,189.0
2015-02-15,2/15/2015,190,190.0
2015-02-16,2/16/2015,189,189.0
2015-02-17,2/17/2015,186,186.0
2015-02-18,2/18/2015,187,187.0
2015-02-19,2/19/2015,187,187.0
2015-02-20,2/20/2015,188,188.0
2015-02-21,2/21/2015,188,188.0
2015-02-22,2/22/2015,187,187.0
2015-02-23,2/23/2015,184,184.0
2015-02-24,2/24/2015,184,184.0
2015-02-25,2/25/2015,185,185.0
2015-02-26,2/26/2015,184,184.0
2015-02-27,2/27/2015,183,183.0
2015-02-28,2/28/2015,184,184.0
2015-03-01,3/1/2015,186,186.0
2015-03-02,3/2/2015,184,184.0
2015-03-03,3/3/2015,186,186.0
2015-03-04,3/4/2015,187,184.5
2015-03-05,3/5/2015,183,183.0
2015-03-06,3/6/2015,183,183.0
2015-03-07,3/7/2015,184,184.0
2015-03-08,3/8/2015,195,186.8
2015-03-09,3/9/2015,277,189.6
2015-03-10,3/10/2015,237,192.4
2015-03-11,3/11/2015,205,195.2
2015-03-12,3/12/2015,198,198.0
2015-03-13,3/13/2015,196,196.0
2015-03-14,3/14/2015,198,198.0
2015-03-15,3/15/2015,200,196.0
2015-03-16,3/16/2015,194,194.0
2015-03-17,3/17/2015,194,194.0
2015-03-18,3/18/2015,195,195.0
2015-03-19,3/19/2015,195,195.0
2015-03-20,3/20/2015,204,197.0
2015-03-21,3/21/2015,306,199.0
2015-03-22,3/22/2015,234,201.0
2015-03-23,3/23/2015,212,203.0
2015-03-24,3/24/2015,205,205.0
2015-03-25,3/25/2015,203,203.0
2015-03-26,3/26/2015,201,201.0
2015-03-27,3/27/2015,201,201.0
2015-03-28,3/28/2015,200,200.0
2015-03-29,3/29/2015,201,201.0
2015-03-30,3/30/2015,197,197.0
2015-03-31,3/31/2015,195,195.0
2015-04-01,4/1/2015,195,195.0
2015-04-02,4/2/2015,194,194.0
2015-04-03,4/3/2015,194,194.0
2015-04-04,4/4/2015,192,192.0
2015-04-05,4/5/2015,194,194.0
2015-04-06,4/6/2015,192,192.0
2015-04-07,4/7/2015,190,190.0
2015-04-08,4/8/2015,187,187.0
2015-04-09,4/9/2015,187,187.0
2015-04-10,4/10/2015,191,189.0
2015-04-11,4/11/2015,191,191.0
2015-04-12,4/12/2015,193,193.0
2015-04-13,4/13/2015,235,194.0
2015-04-14,4/14/2015,204,195.0
2015-04-15,4/15/2015,196,196.0
2015-04-16,4/16/2015,205,196.6
2015-04-17,4/17/2015,233,197.2
2015-04-18,4/18/2015,222,197.8
2015-04-19,4/19/2015,206,198.4
2015-04-20,4/20/2015,199,199.0
2015-04-21,4/21/2015,196,196.0
2015-04-22,4/22/2015,199,199.0
2015-04-23,4/23/2015,206,206.0
