Date,Discharge,baseflow,interpolation,baseflow
1/1/2015,131,131,131,131
1/2/2015,131,131,131,131
1/3/2015,136,,132,132
1/4/2015,133,133,133,133
1/5/2015,131,131,131,131
1/6/2015,131,131,131,131
1/7/2015,133,133,133,133
1/8/2015,133,133,133,133
1/9/2015,133,133,133,133
1/10/2015,135,135,135,135
1/11/2015,141,,137,137
1/12/2015,139,139,139,139
1/13/2015,139,139,139,139
1/14/2015,140,140,140,140
1/15/2015,140,140,140,140
1/16/2015,140,140,140,140
1/17/2015,141,141,141,141
1/18/2015,141,141,141,141
1/19/2015,141,141,141,141
1/20/2015,142,142,142,142
1/21/2015,143,143,143,143
1/22/2015,308,,150.25,150.25
1/23/2015,201,,157.5,157.5
1/24/2015,177,,164.75,164.75
1/25/2015,172,172,172,172
1/26/2015,171,171,171,171
1/27/2015,170,170,170,170
1/28/2015,172,172,172,172
1/29/2015,172,172,172,172
1/30/2015,172,172,172,172
1/31/2015,174,174,174,174
2/1/2015,177,177,177,177
2/2/2015,177,177,177,177
2/3/2015,186,,183,183
2/4/2015,189,189,189,189
2/5/2015,189,189,189,189
2/6/2015,191,191,191,191
2/7/2015,191,191,191,191
2/8/2015,193,193,193,193
2/9/2015,193,193,193,193
2/10/2015,193,193,193,193
2/11/2015,189,189,189,189
2/12/2015,188,188,188,188
2/13/2015,187,187,187,187
2/14/2015,189,189,189,189
2/15/2015,190,190,190,190
2/16/2015,189,189,189,189
2/17/2015,186,186,186,186
2/18/2015,187,187,187,187
2/19/2015,187,187,187,187
2/20/2015,188,188,188,188
2/21/2015,188,188,188,188
2/22/2015,187,187,187,187
2/23/2015,184,184,184,184
2/24/2015,184,184,184,184
2/25/2015,185,185,185,185
2/26/2015,184,184,184,184
2/27/2015,183,183,183,183
2/28/2015,184,184,184,184
3/1/2015,186,186,186,186
3/2/2015,184,184,184,184
3/3/2015,186,186,186,186
3/4/2015,187,,184.5,184.5
3/5/2015,183,183,183,183
3/6/2015,183,183,183,183
3/7/2015,184,184,184,184
3/8/2015,195,,186.8,186.8
3/9/2015,277,,189.6,189.6
3/10/2015,237,,192.4,192.4
3/11/2015,205,,195.2,195.2
3/12/2015,198,198,198,198
3/13/2015,196,196,196,196
3/14/2015,198,198,198,198
3/15/2015,200,,196,196
3/16/2015,194,194,194,194
3/17/2015,194,194,194,194
3/18/2015,195,195,195,195
3/19/2015,195,195,195,195
3/20/2015,204,,197,197
3/21/2015,306,,199,199
3/22/2015,234,,201,201
3/23/2015,212,,203,203
3/24/2015,205,205,205,205
3/25/2015,203,203,203,203
3/26/2015,201,201,201,201
3/27/2015,201,201,201,201
3/28/2015,200,200,200,200
3/29/2015,201,201,201,201
3/30/2015,197,197,197,197
3/31/2015,195,195,195,195
4/1/2015,195,195,195,195
4/2/2015,194,194,194,194
4/3/2015,194,194,194,194
